backend,run_label,job_id,global_stability (%),local_A (%),local_B (%),asymmetry (%),shots
ibm_torino,A,d60bhg2bju6s73bcq8d0,79.85,91.00,88.53,2.48,8192
ibm_torino,A,d60bhgl7fc0s73auv8k0,79.09,87.45,89.31,1.86,8192
ibm_torino,A,d60bhh3uf71s73cjjh20,82.86,91.43,93.09,1.66,8192
ibm_torino,A,d60bhhabju6s73bcq8e0,82.71,91.70,93.24,1.54,8192
ibm_torino,A,d60bhhruf71s73cjjh3g,82.45,91.41,88.49,2.92,8192
ibm_torino,B,d60bhi9mvbjc73addh00,79.86,88.26,88.57,0.32,8192
ibm_torino,B,d60bhiibju6s73bcq8h0,83.56,91.70,92.42,0.72,8192
ibm_torino,B,d60bhj1mvbjc73addh10,79.92,89.86,87.63,2.22,8192
ibm_torino,B,d60bhjl7fc0s73auv8og,82.80,91.78,92.99,1.21,8192
ibm_torino,B,d60bhk1mvbjc73addh30,82.24,88.40,89.51,1.11,8192
ibm_torino,C,d60bhk9mvbjc73addh40,81.43,87.94,89.01,1.07,8192
ibm_torino,C,d60bhkqbju6s73bcq8m0,79.04,88.22,88.56,0.34,8192
ibm_torino,C,d60bhlbuf71s73cjjhb0,83.92,93.64,88.43,5.21,8192
ibm_torino,C,d60bhlhmvbjc73addh70,79.46,92.52,93.10,0.59,8192
ibm_torino,C,d60bhm3uf71s73cjjhd0,80.65,91.61,88.82,2.80,8192
ibm_torino,D,d60bhml7fc0s73auv8t0,79.50,92.30,88.57,3.72,8192
ibm_torino,D,d60bhmruf71s73cjjhe0,78.32,88.76,87.70,1.06,8192
ibm_torino,D,d60bhnbuf71s73cjjheg,80.27,90.89,88.88,2.01,8192
ibm_torino,D,d60bhnt7fc0s73auv900,79.76,88.82,88.23,0.59,8192
ibm_torino,D,d60bho57fc0s73auv910,78.02,90.10,87.10,3.00,8192
ibm_torino,A,d60bie1mvbjc73addi50,79.48,91.14,88.55,2.59,8192
ibm_torino,A,d60biejuf71s73cjji9g,82.04,91.38,92.69,1.31,8192
ibm_torino,A,d60bif1mvbjc73addi70,82.52,91.09,92.42,1.33,8192
ibm_torino,A,d60bif9mvbjc73addi80,80.69,89.58,93.03,3.45,8192
ibm_torino,A,d60bifpmvbjc73addi90,78.19,87.39,88.96,1.57,8192
ibm_torino,B,d60bigbuf71s73cjjicg,83.30,91.93,90.82,1.11,8192
ibm_torino,B,d60bigjuf71s73cjjidg,80.48,87.54,88.88,1.34,8192
ibm_torino,B,d60bih2bju6s73bcq9ng,82.43,90.39,92.69,2.29,8192
ibm_torino,B,d60bihl7fc0s73auva10,82.79,92.09,91.66,0.43,8192
ibm_torino,B,d60bihqbju6s73bcq9pg,79.35,89.79,88.56,1.23,8192
ibm_torino,C,d60biid7fc0s73auva2g,82.28,88.13,88.85,0.72,8192
ibm_torino,C,d60biiruf71s73cjjii0,81.63,91.96,88.81,3.15,8192
ibm_torino,C,d60bij57fc0s73auva50,81.48,91.71,92.18,0.46,8192
ibm_torino,C,d60bijjuf71s73cjjik0,82.35,88.38,89.67,1.29,8192
ibm_torino,C,d60bik3uf71s73cjjil0,83.50,91.24,91.96,0.72,8192
ibm_torino,D,d60bik9mvbjc73addig0,79.43,90.53,88.46,2.06,8192
ibm_torino,D,d60bikqbju6s73bcq9vg,78.70,89.40,87.05,2.36,8192
ibm_torino,D,d60bild7fc0s73auva7g,76.99,87.38,86.35,1.03,8192
ibm_torino,D,d60bilhmvbjc73addij0,79.71,90.87,89.03,1.84,8192
ibm_torino,D,d60bim1mvbjc73addik0,75.38,83.76,88.56,4.80,8192
